"","codes","lz"
"1",0,"Kigali city"
"2",1,"Lake Kivu Coffee Zone"
"3",2,"West Congo-Nile Crest Tea Zone"
"4",3,"Northwest Volcanic Irish Potato Zone"
"5",4,"East Congo-Nile Highland Subsistence Farming Zone"
"6",5,"Central Plateau Cassava and Coffee Zone"
"7",6,"Northern Highland Beans and Wheat Zone"
"8",7,"Central-Northern Highland Irish Potato, Beans and Vegetable Zone"
"9",8,"Bugesera Cassava Zone"
"10",9,"Eastern Plateau Mixed Agriculture Zone"
"11",10,"Southeastern Plateau Banana Zone"
"12",11,"Eastern Agropastoral Zone"
"13",12,"Eastern Semi-Arid Agropastoral Zone"
