"","x"
"1","caseid"
"2","midx"
"3","cluster_num"
"4","hh_num"
"5","interview_date_cmc"
"6","wealth_index"
"7","dob_cmc"
"8","sex"
"9","age_death"
"10","hwidx"
"11","age_months"
"12","weight_kg"
"13","height_cm"
"14","height_age_percentile"
"15","height_age_zscore"
"16","weight_age_percentile"
"17","weight_age_std"
"18","weight_height_percentile"
"19","weight_height_std"
"20","mother_ed_level"
"21","mother_ed_year"
"22","child_milk"
"23","child_cereals"
"24","child_tubers"
"25","child_eggs"
"26","child_meat"
"27","child_veg_yellow_orange"
"28","child_veg_dark_green"
"29","child_fruit_vit_a"
"30","child_fruit_other"
"31","child_meat_organ"
"32","child_fish"
"33","child_legumes_nuts"
"34","child_milk_products"
"35","child_other_food"
"36","birth_interval_preceding"
"37","bidx"
"38","birth_order"
"39","cluster_hh_num"
